"urn","current_urn","number_of_links"
105102,138355,1
105103,105103,0
105104,136895,1
105105,137815,1
105106,146315,1
105107,105107,0
105108,141131,1
105109,139031,1
105110,143554,1
105111,105111,0
105112,139144,1
105113,137476,1
105114,136780,1
105115,137929,1
105116,105116,0
105117,105117,0
105118,105118,0
105119,105119,0
105120,105120,0
105121,105121,0
105122,105122,0
105123,105123,0
105124,135877,1
105125,105125,0
105126,105126,0
105127,105127,0
105128,105128,0
105129,105129,0
105130,105130,0
105131,105131,0
105132,105132,0
105133,105133,0
105134,105134,0
105135,105135,0
105136,105136,0
105137,105137,0
105138,105138,0
105139,105139,0
105140,105140,0
105141,105141,0
105142,105142,0
105143,133925,1
105144,105144,0
105145,105145,0
105146,142719,1
105147,142746,1
105148,105148,0
105149,105149,0
105150,105150,0
105151,105151,0
105152,105152,0
105153,105153,0
105154,105154,0
105155,105155,0
105156,105156,0
105157,105157,0
105158,136395,1
105159,105159,0
105160,105160,0
105161,105161,0
105162,105162,0
105163,105163,0
105164,145854,1
105165,105165,0
105166,105166,0
105167,105167,0
105168,105168,0
105169,105169,0
105170,105170,0
105171,105171,0
105172,105172,0
105173,105173,0
105174,105174,0
105175,105175,0
105176,105176,0
105177,138011,1
105178,105178,0
105179,146535,1
105180,105180,0
105181,105181,0
105182,105182,0
105183,138399,1
105184,105184,0
105185,141915,1
105186,105186,0
105187,105187,0
105188,138152,1
105189,105189,0
105190,105190,0
105191,105191,0
105192,105192,0
105193,143031,1
105194,137991,1
105195,105195,0
105196,105196,0
105197,142030,1
105198,105198,0
105199,105199,0
105200,143030,1
105201,105201,0
105202,105202,0
105203,105203,0
105204,105204,0
105205,105205,0
105206,138851,1
105207,105207,0
105208,142944,1
105209,105209,0
105210,105210,0
105211,105211,0
105212,105211,1
105213,138957,1
105214,105214,0
105215,105215,0
105216,142923,1
105217,105217,0
105218,105218,0
105219,105219,0
105220,105220,0
105221,105221,0
105222,105222,0
105223,105223,0
105224,105224,0
105225,105225,0
105226,105226,0
105227,105227,0
105228,145751,1
105229,105229,0
105230,105230,0
105231,146141,1
105232,105232,0
105233,105233,0
105234,105234,0
105235,105235,0
105236,105236,0
105237,105237,0
105238,105238,0
105239,105239,0
105240,105240,0
105241,105241,0
105242,105242,0
105243,105243,0
105244,147631,1
105245,105245,0
105246,105246,0
105247,105247,0
105248,105248,0
105249,105249,0
105250,105250,0
105251,136889,1
105252,105252,0
105253,105253,0
105254,105254,0
105255,134646,1
105256,142296,1
105257,143772,1
105258,135770,1
105259,142232,1
105260,140500,1
105261,143773,1
105262,105262,0
105263,105263,0
105264,105264,0
105265,105265,0
105266,144046,1
105267,144044,1
105268,136135,1
105269,105269,0
105270,105270,0
105271,105271,0
105272,105272,0
105273,142340,2
105274,146406,1
105275,105275,0
105276,105276,0
105277,105277,0
105278,146410,1
105279,105279,0
105280,105280,0
105281,105281,0
105282,105282,0
105283,105283,0
105284,105284,0
105285,141167,1
105286,105286,0
105287,105287,0
105288,105288,0
105289,144593,1
105290,105290,0
105291,105291,0
105292,105292,0
105293,105293,0
105294,105294,0
105295,105295,0
105296,105296,0
105297,105297,0
105298,105298,0
105299,105299,0
105300,105300,0
105301,105301,0
105302,144575,1
105303,105303,0
105304,147551,1
105305,105305,0
105306,105306,0
105307,105307,0
105308,105308,0
105309,105309,0
105310,105310,0
105311,105311,0
105312,141673,1
105313,105313,0
105314,105314,0
105315,144572,1
105316,105316,0
105317,146932,1
105318,105318,0
105319,105319,0
105320,105320,0
105321,105321,0
105322,146156,1
105323,105323,0
105324,105324,0
105325,105325,0
105326,105326,0
105327,105327,0
105328,105328,0
105329,146996,1
105330,147159,1
105331,146308,1
105332,105332,0
105333,105333,0
105334,105334,0
105335,105335,0
105336,105336,0
105337,105337,0
105338,105338,0
105339,105339,0
105340,105340,0
105341,144408,1
105342,105342,0
105343,105343,0
105344,105344,0
105345,105345,0
105346,136661,1
105347,105347,0
105348,105348,0
105349,145560,1
105350,105350,0
105351,105351,0
105352,105352,0
105353,105353,0
105354,105354,0
105355,105355,0
105356,105356,0
105357,146529,1
105358,105358,0
105359,105359,0
105360,105360,0
105361,105361,0
105362,147883,1
105363,143848,1
105364,146970,1
105365,105365,0
105366,148050,1
105367,105367,0
105368,105368,0
105369,105369,0
105370,134195,1
105371,105371,0
105372,105372,0
105373,105373,0
105374,105374,0
105375,131506,1
105376,105376,0
105377,105377,0
105378,146891,1
105379,105379,0
105380,105380,0
105381,139056,2
105382,105382,0
105383,105383,0
105384,105384,0
105385,105385,0
105386,139404,1
105387,105387,0
105388,139056,1
105389,105389,0
105390,140052,1
105391,105391,0
105392,105392,0
105393,105393,0
105394,105394,0
105395,105395,0
105396,105396,0
105397,105397,0
105398,138653,1
105399,105399,0
105400,105400,0
105401,105401,0
105402,105402,0
105403,105403,0
105404,105404,0
105405,105405,0
105406,105406,0
105407,105407,0
105408,105408,0
105409,140661,1
105410,140709,1
105411,105411,0
105412,105412,0
105413,105413,0
105414,144131,1
105415,105415,0
105416,138784,1
105417,105417,0
105418,140130,1
105419,105419,0
105420,139263,1
105421,105421,0
105422,105422,0
105423,140137,1
105424,105424,0
105425,105425,0
105426,105426,0
105427,105427,0
105428,105428,0
105429,105429,0
105430,142437,1
105431,105431,0
105432,105432,0
105433,105433,0
105434,105434,0
105435,105435,0
105436,105436,0
105437,105437,0
105438,105438,0
105439,105439,0
105440,105440,0
105441,105441,0
105442,105442,0
105443,105443,0
105444,105444,0
105445,105445,0
105446,105446,0
105447,105447,0
105448,105448,0
105449,105449,0
105450,105450,0
105451,146227,1
105452,105452,0
105453,105453,0
105454,105454,0
105455,105455,0
105456,105456,0
105457,105457,0
105458,105458,0
105459,105459,0
105460,137689,1
105461,105461,0
105462,105462,0
105463,105463,0
105464,105464,0
105465,105465,0
105466,105466,0
105467,105467,0
105468,105468,0
105469,105469,0
105470,105470,0
105471,105471,0
105472,105472,0
105473,105473,0
105474,105474,0
105475,105475,0
105476,105476,0
105477,105477,0
105478,105478,0
105479,105479,0
105480,105480,0
105481,105481,0
105482,139445,1
105483,105483,0
105484,144128,1
105485,105485,0
105486,105486,0
105487,105487,0
105488,105488,0
105489,137866,1
105490,105490,0
105491,105491,0
105492,105492,0
105493,105493,0
105494,105494,0
105495,105495,0
105496,105496,0
105497,141689,1
105498,105498,0
105499,137601,1
105500,105500,0
105501,105501,0
105502,105502,0
105503,105503,0
105504,105504,0
105505,105505,0
105506,142265,1
105507,105507,0
105508,105508,0
105509,105509,0
105510,105510,0
105511,105511,0
105512,105512,0
105513,105513,0
105514,105514,0
105515,105515,0
105516,105516,0
105517,105517,0
105518,105518,0
105519,105519,0
105520,105520,0
105521,105521,0
105522,139458,1
105523,105523,0
105524,105524,0
105525,105525,0
105526,105526,0
105527,105527,0
105528,105528,0
105529,105529,0
105530,105530,0
105531,139467,1
105532,105532,0
105533,105533,0
105534,105534,0
105535,105535,0
105536,105536,0
105537,105537,0
105538,105538,0
105539,105539,0
105540,105540,0
105541,105541,0
105542,140758,1
105543,105543,0
105544,105544,0
105545,105545,0
105546,105546,0
105547,105547,0
105548,105548,0
105549,142936,1
105550,105550,0
105551,105551,0
105552,105552,0
105553,105553,0
105554,105554,0
105555,105555,0
105556,143260,1
105557,140703,1
105558,141264,1
105559,136174,1
105560,105560,0
105561,135909,1
105562,142762,2
105563,105563,0
105564,146239,1
105565,105565,0
105566,105566,0
105567,134224,1
105568,141196,1
105569,139148,1
105570,135875,1
105571,141392,1
105572,105572,0
105573,105573,0
105574,105574,0
105575,105575,0
105576,105576,0
105577,105577,0
105578,137801,1
105579,139456,1
105580,105580,0
105581,105581,0
105582,105582,0
105583,137309,1
105584,105584,0
105585,105585,0
105586,105586,0
105587,105587,0
105588,105588,0
105589,105589,0
105590,105590,0
105591,105591,0
105592,105592,0
105593,135296,1
105594,105594,0
105595,105595,0
105596,105596,0
105597,105597,0
105598,105598,0
105599,105599,0
105600,105600,0
105601,105601,0
105602,105602,0
105603,105603,0
105604,105604,0
105605,105605,0
105606,105606,0
105607,105607,0
105608,105608,0
105609,105609,0
105610,105610,0
105611,141805,1
105612,105612,0
105613,105613,0
105614,105614,0
105615,138532,1
105616,105616,0
105617,105617,0
105618,105618,0
105619,105619,0
105620,105620,0
105621,105621,0
105622,145845,1
105623,105623,0
105624,105624,0
105625,105625,0
105626,105626,0
105627,105627,0
105628,105628,0
105629,105629,0
105630,142425,1
105631,145537,1
105632,142471,1
105633,137479,1
105634,140100,1
105635,144025,1
105636,105636,0
105637,105637,0
105638,105638,0
105639,142550,1
105640,105640,0
105641,105641,0
105642,105642,0
105643,105643,0
105644,105644,0
105645,105645,0
105646,105646,0
105647,105647,0
105648,105648,0
105649,105649,0
105650,105650,0
105651,105651,0
105652,105652,0
105653,105653,0
105654,105654,0
105655,105655,0
105656,105656,0
105657,105657,0
105658,105658,0
105659,105659,0
105660,105660,0
105661,105661,0
105662,146813,1
105663,105663,0
105664,105664,0
105665,105665,0
105666,105666,0
105667,105667,0
105668,105668,0
105669,105669,0
105670,105670,0
105671,105671,0
105672,147368,1
105673,105673,0
105674,146811,1
105675,144507,2
105676,105676,0
105677,105677,0
105678,140579,1
105679,105679,0
105680,105680,0
105681,105681,0
105682,141333,1
105683,105683,0
105684,105684,0
105685,141401,1
105686,105686,0
105687,105687,0
105688,105688,0
105689,144000,1
105690,140589,1
105691,105691,0
105692,105692,0
105693,105693,0
105694,105694,0
105695,105695,0
105696,105696,0
105697,105697,0
105698,105698,0
105699,105699,0
105700,105700,0
105701,105701,0
105702,105702,0
105703,105703,0
105704,105704,0
105705,105705,0
105706,105706,0
105707,105707,0
105708,105708,0
105709,105709,0
105710,105710,0
105711,105711,0
105712,146670,1
105713,105713,0
105714,105714,0
105715,105715,0
105716,105716,0
105717,142271,1
105718,105718,0
105719,105719,0
105720,105720,0
105721,105721,0
105722,105722,0
105723,105723,0
105724,105724,0
105725,105725,0
105726,105726,0
105727,105727,0
105728,105728,0
105729,136115,1
105730,137039,1
105731,105731,0
105732,105732,0
105733,105733,0
105734,146316,1
105735,144627,1
105736,105736,0
105737,141248,1
105738,105738,0
105739,137133,1
105740,137294,1
105741,105741,0
105742,105742,0
105743,105743,0
105744,105744,0
105745,105745,0
105746,105746,0
105747,105747,0
105748,105748,0
105749,105749,0
105750,105750,0
105751,105751,0
105752,105752,0
105753,105753,0
105754,105754,0
105755,105755,0
105756,105756,0
105757,105757,0
105758,105758,0
105759,105759,0
105760,105760,0
105761,105761,0
105762,105762,0
105763,105763,0
105764,105764,0
105765,105765,0
105766,105766,0
105767,141365,1
105768,105768,0
105769,105769,0
105770,105770,0
105771,105771,0
105772,105772,0
105773,105773,0
105774,105774,0
105775,105775,0
105776,105776,0
105777,105777,0
105778,105778,0
105779,105779,0
105780,105780,0
105781,105781,0
105782,105782,0
105783,105783,0
105784,105784,0
105785,105785,0
105786,105786,0
105787,105787,0
105788,105788,0
105789,105789,0
105790,105790,0
105791,105791,0
105792,105792,0
105793,105793,0
105794,105794,0
105795,105795,0
105796,105796,0
105797,105797,0
105798,105798,0
105799,105799,0
105800,105800,0
105801,105801,0
105802,105802,0
105803,105803,0
105804,105804,0
105805,105805,0
105806,105806,0
105807,144690,1
105808,105808,0
105809,105809,0
105810,105810,0
105811,105811,0
105812,105812,0
105813,105813,0
105814,105814,0
105815,105815,0
105816,105816,0
105817,105817,0
105818,105818,0
105819,105819,0
105820,105820,0
105821,105821,0
105822,105822,0
105823,105823,0
105824,105824,0
105825,105825,0
105826,105826,0
105827,144934,1
105828,105828,0
105829,105829,0
105830,105830,0
105831,105831,0
105832,144982,1
105833,105833,0
105834,147875,1
105835,105835,0
105836,105836,0
105837,105837,0
105838,105838,0
105839,147369,1
105840,105840,0
105841,135313,1
105842,143319,1
105843,131726,1
105844,105844,0
105845,105845,0
105846,105846,0
105847,105847,0
105848,144689,1
105849,105849,0
105850,105850,0
105851,137471,1
105852,140055,1
105853,140091,1
105854,105854,0
105855,105855,0
105856,105856,0
105857,105857,0
105858,105858,0
105859,105859,0
105860,105860,0
105861,105861,0
105862,105862,0
105863,105863,0
105864,105864,0
105865,105865,0
105866,105866,0
105867,105867,0
105868,105868,0
105869,105869,0
105870,105870,0
105871,105871,0
105872,105935,1
105873,105873,0
105874,105901,1
105875,105875,0
105876,105876,0
105877,105877,0
105878,105878,0
105879,105879,0
105880,105880,0
105881,105881,0
105882,105882,0
105883,105883,0
105884,105884,0
105885,105885,0
105886,105886,0
105887,105887,0
105888,105888,0
105889,105889,0
105890,105890,0
105891,105891,0
105892,105892,0
105893,105893,0
105894,105894,0
105895,105895,0
105896,105896,0
105897,105897,0
105898,105898,0
105899,105899,0
105900,105900,0
105901,105901,0
105902,105902,0
105903,105903,0
105904,105904,0
105905,105905,0
105906,105906,0
105907,105907,0
105908,105908,0
105909,105909,0
105910,105910,0
105911,105911,0
105912,105912,0
105913,105913,0
105914,105914,0
105915,105915,0
105916,105916,0
105917,105917,0
105918,105918,0
105919,144459,1
105920,138416,1
105921,105921,0
105922,105922,0
105923,137556,1
105924,105924,0
105925,105925,0
105926,146792,2
105927,105927,0
105928,105928,0
105929,105929,0
105930,105930,0
105931,105931,0
105932,105932,0
105933,105933,0
105934,105934,0
105935,105935,0
105936,105936,0
105937,105937,0
105938,105938,0
105939,105939,0
105940,105940,0
105941,105941,0
105942,105942,0
105943,147730,1
105944,105944,0
105945,105945,0
105946,105946,0
105947,144372,1
105948,105948,0
105949,105949,0
105950,105950,0
105951,105951,0
105952,105952,0
105953,105953,0
105954,105954,0
105955,105955,0
105956,105956,0
105957,105957,0
105958,105958,0
105959,105959,0
105960,105960,0
105961,105961,0
105962,105962,0
105963,105963,0
105964,105964,0
105965,105965,0
105966,105966,0
105967,105967,0
105968,105968,0
105969,105969,0
105970,105970,0
105971,138543,1
105972,135661,1
105973,105973,0
105974,143059,1
105975,146404,1
105976,142073,1
105977,144199,1
105978,105978,0
105979,105979,0
105980,105980,0
105981,105981,0
105982,144200,1
105983,136987,1
105984,135071,1
105985,105985,0
105986,105986,0
105987,105987,0
105988,105988,0
105989,105989,0
105990,105990,0
105991,105991,0
105992,105992,0
105993,105993,0
105994,138698,2
105995,105995,0
105996,105996,0
105997,105997,0
105998,105998,0
105999,105999,0
106000,106000,0
106001,106001,0
106002,106002,0
106003,106003,0
106004,106004,0
106005,106005,0
106006,106006,0
106007,106007,0
106008,106008,0
106009,138130,1
106010,143062,1
106011,145850,1
106012,106012,0
106013,106013,0
106014,106014,0
106015,106015,0
106016,106016,0
106017,106017,0
106018,106018,0
106019,106019,0
106020,106020,0
106021,106021,0
106022,106022,0
106023,106023,0
106024,106024,0
106025,106025,0
106026,106026,0
106027,106027,0
106028,106028,0
106029,106029,0
106030,106030,0
106031,106031,0
106032,106032,0
106033,106033,0
106034,106034,0
106035,106035,0
106036,106036,0
106037,106037,0
106038,106038,0
106039,106039,0
106040,106040,0
106041,106041,0
106042,106042,0
106043,106043,0
106044,106044,0
106045,106045,0
106046,106046,0
106047,141275,1
106048,106048,0
106049,106049,0
106050,106050,0
106051,106051,0
106052,106052,0
106053,140925,1
106054,106054,0
106055,106055,0
106056,106056,0
106057,106057,0
106058,137542,1
106059,106059,0
106060,106060,0
106061,106061,0
106062,106062,0
106063,106063,0
106064,106064,0
106065,106065,0
106066,106066,0
106067,106067,0
106068,106068,0
106069,106069,0
106070,106070,0
106071,106071,0
106072,106072,0
106073,106073,0
106074,106074,0
106075,106075,0
106076,106076,0
106077,106077,0
106078,106078,0
106079,106079,0
106080,106080,0
106081,106081,0
106082,106082,0
106083,106083,0
106084,106084,0
106085,106085,0
106086,106086,0
106087,106087,0
106088,106088,0
106089,106089,0
106090,106090,0
106091,106091,0
106092,106092,0
106093,106093,0
106094,106094,0
106095,145054,1
106096,106096,0
106097,106097,0
106098,106098,0
106099,106099,0
106100,106100,0
106101,106101,0
106102,106102,0
106103,106103,0
106104,147723,1
106105,106105,0
106106,106106,0
106107,140417,1
106108,106108,0
106109,106109,0
106110,147516,1
106111,106111,0
106112,106112,0
106113,106113,0
106114,106114,0
106115,106115,0
106116,106116,0
106117,106117,0
106118,106118,0
106119,106119,0
106120,106120,0
106121,106121,0
106122,106122,0
106123,146189,1
106124,106124,0
106125,106125,0
106126,106126,0
106127,106127,0
106128,106128,0
106129,106129,0
106130,106130,0
106131,135262,1
106132,106132,0
106133,106133,0
106134,145133,2
106135,106135,0
106136,106136,0
106137,137923,1
106138,106138,0
106139,106139,0
106140,137843,1
106141,142509,1
106142,106142,0
106143,106143,0
106144,106144,0
106145,106145,0
106146,106146,0
106147,106147,0
106148,106148,0
106149,106149,0
106150,106150,0
106151,106151,0
106152,106152,0
106153,106153,0
106154,106154,0
106155,106155,0
106156,106156,0
106157,106157,0
106158,106158,0
106159,106159,0
106160,106160,0
106161,106161,0
106162,106162,0
106163,106163,0
106164,131730,1
106165,106165,0
106166,106166,0
106167,106167,0
106168,106168,0
106169,106169,0
106170,106170,0
106171,106171,0
106172,106172,0
106173,106173,0
106174,106174,0
106175,106175,0
106176,106245,1
106177,106177,0
106178,106178,0
106179,106179,0
106180,142717,1
106181,106181,0
106182,106182,0
106183,142701,1
106184,106184,0
106185,106185,0
106186,106186,0
106187,137951,1
106188,106188,0
106189,106189,0
106190,106190,0
106191,106191,0
106192,106192,0
106193,106193,0
106194,147917,1
106195,106195,0
106196,106196,0
106197,143376,1
106198,143377,1
106199,142704,1
106200,106200,0
106201,106201,0
106202,141759,1
106203,106203,0
106204,145706,1
106205,106205,0
106206,106206,0
106207,106207,0
106208,141445,1
106209,142499,1
106210,106210,0
106211,144698,1
106212,106212,0
106213,106213,0
106214,106214,0
106215,138207,1
106216,106216,0
106217,147371,1
106218,146480,1
106219,106219,0
106220,142286,1
106221,141408,1
106222,106222,0
106223,146456,1
106224,144569,1
106225,143495,1
106226,106226,0
106227,106227,0
106228,106228,0
106229,106229,0
106230,146703,1
106231,147916,1
106232,106232,0
106233,143551,1
106234,106234,0
106235,106235,0
106236,106236,0
106237,106237,0
106238,106238,0
106239,106239,0
106240,106240,0
106241,106241,0
106242,106242,0
106243,146716,1
106244,106244,0
106245,106245,0
106246,106246,0
106247,106247,0
106248,106248,0
106249,106249,0
106250,106250,0
106251,106251,0
106252,106252,0
106253,106253,0
106254,106254,0
106255,106255,0
106256,106256,0
106257,106257,0
106258,106258,0
106259,139294,1
106260,106260,0
106261,106261,0
106262,106262,0
106263,106263,0
106264,106264,0
106265,106265,0
106266,106266,0
106267,144579,1
106268,106268,0
106269,144622,1
106270,106270,0
106271,106271,0
106272,139735,1
106273,136273,1
106274,137020,1
106275,136593,1
106276,106276,0
106277,140133,1
106278,106278,0
106279,106279,0
106280,106280,0
106281,106281,0
106282,106282,0
106283,106283,0
106284,106284,0
106285,106285,0
106286,106286,0
106287,136376,1
106288,106288,0
106289,106289,0
106290,106290,0
106291,138654,1
106292,106292,0
106293,106293,0
106294,106294,0
106295,106295,0
106296,145746,1
106297,140142,1
106298,106298,0
106299,106299,0
106300,106300,0
106301,106301,0
106302,140877,1
106303,106303,0
106304,106304,0
106305,143380,1
106306,106306,0
106307,106307,0
106308,106308,0
106309,106309,0
106310,106310,0
106311,106311,0
106312,106312,0
106313,106313,0
106314,106314,0
106315,106315,0
106316,106316,0
106317,106317,0
106318,106318,0
106319,106319,0
106320,144649,1
106321,106321,0
106322,106322,0
106323,106323,0
106324,106324,0
106325,106325,0
106326,106326,0
106327,106327,0
106328,106328,0
106329,106329,0
106330,106330,0
106331,106331,0
106332,106332,0
106333,106333,0
106334,106334,0
106335,145485,1
106336,106336,0
106337,106337,0
106338,106338,0
106339,106339,0
106340,106340,0
106341,106341,0
106342,106342,0
106343,106343,0
106344,106344,0
106345,106345,0
106346,106346,0
106347,106347,0
106348,106348,0
106349,106349,0
106350,106350,0
106351,147552,1
106352,106352,0
106353,106353,0
106354,106354,0
106355,106355,0
106356,106356,0
106357,106357,0
106358,106358,0
106359,106359,0
106360,106360,0
106361,136458,1
106362,137289,1
106363,138124,1
106364,136965,1
106365,106365,0
106366,136378,1
106367,138614,1
106368,106368,0
106369,136297,1
106370,106370,0
106371,136498,1
106372,148026,1
106373,136377,1
106374,138123,1
106375,106375,0
106376,106376,0
106377,106377,0
106378,138464,1
106379,106379,0
106380,143104,1
106381,106381,0
106382,106382,0
106383,106383,0
106384,106384,0
106385,106385,0
106386,106386,0
106387,106387,0
106388,106388,0
106389,106389,0
106390,142289,1
106391,106391,0
106392,147372,1
106393,106393,0
106394,106394,0
106395,106395,0
106396,106396,0
106397,106397,0
106398,106398,0
106399,106399,0
106400,106400,0
106401,106401,0
106402,106402,0
106403,106403,0
106404,106404,0
106405,106405,0
106406,143498,1
106407,106407,0
106408,106408,0
106409,143389,1
106410,106410,0
106411,106411,0
106412,106412,0
106413,106413,0
106414,106414,0
106415,106415,0
106416,141642,1
106417,106417,0
106418,106418,0
106419,138036,1
106420,147101,1
106421,106421,0
106422,106422,0
106423,106423,0
106424,106424,0
106425,106425,0
106426,106426,0
106427,106427,0
106428,106428,0
106429,106429,0
106430,106430,0
106431,106431,0
106432,106432,0
106433,106433,0
106434,106434,0
106435,106435,0
106436,106436,0
106437,145107,1
106438,106438,0
106439,106439,0
106440,106440,0
106441,106441,0
106442,140087,1
106443,106443,0
106444,106444,0
106445,144609,1
106446,140053,1
106447,106447,0
106448,106448,0
106449,106449,0
106450,145713,1
106451,106451,0
106452,144340,1
106453,146399,1
106454,106454,0
106455,106455,0
106456,106456,0
106457,106457,0
106458,106458,0
106459,106459,0
106460,106460,0
106461,106461,0
106462,106462,0
106463,106463,0
106464,106464,0
106465,106465,0
106466,106466,0
106467,139883,1
106468,106468,0
106469,141641,1
106470,106470,0
106471,106471,0
106472,106472,0
106473,141644,1
106474,106474,0
106475,141643,1
106476,106476,0
106477,106447,1
106478,106478,0
106479,106479,0
106480,106480,0
106481,106481,0
106482,106482,0
106483,106483,0
106484,106484,0
106485,106485,0
106486,106486,0
106487,106487,0
106488,106488,0
106489,106489,0
106490,106490,0
106491,106491,0
106492,106492,0
106493,106493,0
106494,106494,0
106495,106495,0
106496,106496,0
106497,106497,0
106498,106498,0
106499,106499,0
106500,106500,0
106501,106501,0
106502,106502,0
106503,106503,0
106504,106504,0
106505,106505,0
106506,106506,0
106507,106507,0
106508,106508,0
106509,106509,0
106510,106510,0
106511,106511,0
106512,106512,0
106513,106513,0
106514,106514,0
106515,106515,0
106516,106516,0
106517,106517,0
106518,106518,0
106519,146511,1
106520,106520,0
106521,106521,0
106522,146797,2
106523,106523,0
106524,146087,1
106525,106525,0
106526,144519,2
106527,137448,1
106528,106528,0
106529,106529,0
106530,137783,1
106531,143812,1
106532,138110,1
106533,138699,1
106534,106534,0
106535,106535,0
106536,106536,0
106537,106537,0
106538,106538,0
106539,106539,0
106540,106540,0
106541,106541,0
106542,106542,0
106543,106543,0
106544,106544,0
106545,106545,0
106546,106546,0
106547,106547,0
106548,106548,0
106549,106549,0
106550,106550,0
106551,106551,0
106552,106552,0
106553,106553,0
106554,106554,0
106555,106555,0
106556,106556,0
106557,106557,0
106558,143107,1
106559,138415,1
106560,139230,1
106561,106561,0
106562,106562,0
106563,106563,0
106564,106564,0
106565,106565,0
106566,106566,0
106567,106567,0
106568,139136,1
106569,106569,0
106570,106570,0
106571,106571,0
106572,138700,1
106573,143940,2
106574,140602,1
106575,106575,0
106576,147618,1
106577,106577,0
106578,143431,1
106579,106579,0
106580,106580,0
106581,138701,1
106582,106582,0
106583,141917,1
106584,106584,0
106585,106585,0
106586,106586,0
106587,106587,0
106588,106588,0
106589,106589,0
106590,106590,0
106591,106591,0
106592,106592,0
106593,106593,0
106594,142385,1
106595,106595,0
106596,106596,0
106597,138702,1
106598,144036,1
106599,106599,0
106600,138615,1
106601,106601,0
106602,106602,0
106603,106603,0
106604,106604,0
106605,141973,1
106606,139132,1
106607,106607,0
106608,139748,1
106609,140460,1
106610,139083,1
106611,106611,0
106612,139084,1
106613,139085,1
106614,144037,1
106615,106615,0
106616,139006,1
106617,106617,0
106618,106618,0
106619,139004,1
106620,106620,0
106621,106621,0
106622,147619,1
106623,143556,1
106624,140242,1
106625,138234,1
106626,106626,0
106627,106627,0
106628,106628,0
106629,106629,0
106630,106630,0
106631,137870,1
106632,106632,0
106633,106633,0
106634,106634,0
106635,106635,0
106636,142556,1
106637,106637,0
106638,106638,0
106639,106639,0
106640,106640,0
106641,106641,0
106642,106642,0
106643,106643,0
106644,141972,1
106645,106645,0
106646,106646,0
106647,131749,1
106648,106648,0
106649,106649,0
106650,106650,0
106651,146320,1
106652,106652,0
106653,106653,0
106654,140979,1
106655,106655,0
106656,146501,1
106657,106657,0
106658,133257,1
106659,106659,0
106660,106660,0
106661,106661,0
106662,106662,0
106663,106663,0
106664,106664,0
106665,106665,0
106666,106666,0
106667,106667,0
106668,138083,1
106669,106669,0
106670,106670,0
106671,106671,0
106672,146672,1
106673,146998,1
106674,141684,1
106675,142933,1
106676,106676,0
106677,106677,0
106678,106678,0
106679,106679,0
106680,138907,1
106681,138007,1
106682,106682,0
106683,106683,0
106684,106684,0
106685,147130,1
106686,106686,0
106687,106687,0
106688,137455,1
106689,106689,0
106690,146948,1
106691,147373,1
106692,106692,0
106693,106693,0
106694,106694,0
106695,137629,1
106696,137482,1
106697,106697,0
106698,106698,0
106699,106699,0
106700,137765,1
106701,106701,0
106702,106702,0
106703,106703,0
106704,138922,1
106705,138008,1
106706,106706,0
106707,106707,0
106708,145930,2
106709,106709,0
106710,106710,0
106711,142464,1
106712,106712,0
106713,147134,1
106714,137335,1
106715,106715,0
106716,106716,0
106717,147620,1
106718,106718,0
106719,106719,0
106720,106720,0
106721,144348,1
106722,106722,0
106723,144410,1
106724,146706,1
106725,106725,0
106726,106726,0
106727,143876,1
106728,106728,0
106729,145079,1
106730,146463,1
106731,106731,0
106732,143962,1
106733,143451,1
106734,106734,0
106735,145933,2
106736,106736,0
106737,106737,0
106738,142934,1
106739,144412,1
106740,147553,1
106741,147797,1
106742,144950,1
106743,106743,0
106744,106744,0
106745,145935,2
106746,106746,0
106747,106747,0
106748,144539,1
106749,144483,2
106750,106750,0
106751,106751,0
106752,144076,1
106753,144411,1
106754,106754,0
106755,138163,1
106756,106756,0
106757,106757,0
106758,144347,1
106759,138704,1
106760,106760,0
106761,106761,0
106762,106762,0
106763,144536,1
106764,143581,1
106765,144345,1
106766,106766,0
106767,106767,0
106768,145771,1
106769,106769,0
106770,106770,0
106771,106771,0
106772,141056,1
106773,106773,0
106774,144469,1
106775,140340,1
106776,106776,0
106777,106777,0
106778,106778,0
106779,106779,0
106780,143938,2
106781,135963,1
106782,138314,1
106783,135942,1
106784,137066,1
106785,135007,1
106786,137472,1
106787,144364,2
106788,146639,2
106789,137603,1
106790,136675,2
106791,138116,1
106792,106792,0
106793,106793,0
106794,106794,0
106795,137899,1
106796,106796,0
106797,106797,0
106798,130306,1
106799,106799,0
106800,106800,0
106801,106801,0
106802,146370,2
106803,106803,0
106804,106804,0
106805,106805,0
106806,106806,0
106807,106807,0
106808,137842,1
106809,106809,0
106810,140865,1
106811,136672,1
106812,106812,0
106813,106813,0
106814,106814,0
106815,106815,0
106816,106816,0
106817,106817,0
106818,106818,0
106819,106819,0
106820,106820,0
106821,106821,0
106822,106822,0
106823,106823,0
106824,144346,2
106825,106825,0
106826,106826,0
106827,106827,0
106828,106828,0
106829,106829,0
106830,106830,0
106831,106831,0
106832,106832,0
106833,106833,0
106834,106834,0
106835,106835,0
106836,106836,0
106837,139223,1
106838,139225,1
106839,106839,0
106840,141788,1
106841,142976,1
106842,142977,1
106843,106843,0
106844,106844,0
106845,106845,0
106846,106846,0
106847,106847,0
106848,106848,0
106849,106849,0
